country,id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,wikipedia_first_paragraph
us,Q8007,Franklin,Roosevelt,1882-01-30,1945-04-12,Hyde Park,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1933-03-04,1945-04-12,"Franklin Delano Roosevelt , commonly known as FDR, was an American politician who served as the 32nd president of the United States from 1933 until his death in 1945. He was a member of the Democratic Party and is the only U.S. president to have served more than two terms. His initial two terms were centered on combating the Great Depression, while his third and fourth saw him shift his focus to America's involvement in World War II."
us,Q8612,Andrew,Johnson,1808-12-29,1875-07-31,Raleigh,https://en.wikipedia.org/wiki/Andrew_Johnson,1865-04-15,1869-03-04,"Andrew Johnson  was an American politician who served as the 17th president of the United States from 1865 to 1869. He assumed the presidency following the assassination of Abraham Lincoln, as he was vice president at that time. Johnson was a Democrat who ran with Abraham Lincoln on the National Union Party ticket, coming to office as the Civil War concluded. He favored quick restoration of the seceded states to the Union without protection for the newly freed people who were formerly enslaved. This led to conflict with the Republican-dominated Congress, culminating in his impeachment by the House of Representatives in 1868. He was acquitted in the Senate by one vote."
us,Q9582,Gerald,Ford,1913-07-14,2006-12-26,Omaha,https://en.wikipedia.org/wiki/Gerald_Ford,1974-08-09,1977-01-20,"Gerald Rudolph Ford Jr.  was an American politician who served as the 38th president of the United States from 1974 to 1977. He previously served as the leader of the Republican Party in the U.S. House of Representatives from 1965 to 1973, and as the 40th vice president under President Richard Nixon from 1973 to 1974. Ford succeeded to the presidency when Nixon resigned in 1974, but was defeated for election to a full term in 1976. Ford is the only person to become U.S. president without winning an election for president or vice president."
us,Q9588,Richard,Nixon,1913-01-09,1994-04-22,Yorba Linda,https://en.wikipedia.org/wiki/Richard_Nixon,1969-01-20,1974-08-09,"Richard Milhous Nixon  was the 37th president of the United States, serving from 1969 to 1974. A member of the Republican Party, he previously served as a representative and senator from California and as the 36th vice president from 1953 to 1961 under President Dwight D. Eisenhower. His presidency saw the reduction of U.S. involvement in the Vietnam War, détente with the Soviet Union and China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agency and Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U.S. president to resign from office, as a result of the Watergate scandal."
us,Q9640,Lyndon,Johnson,1908-08-27,1973-01-22,Stonewall,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1963-11-22,1969-01-20,"Lyndon Baines Johnson , often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He became president after the assassination of John F. Kennedy, under whom he had served as the 37th vice president from 1961 to 1963. A Democrat from Texas, Johnson also served as a U.S. representative and U.S. senator."
us,Q9696,John,Kennedy,1917-05-29,1963-11-22,Brookline,https://en.wikipedia.org/wiki/John_F._Kennedy,1961-01-20,1963-11-22,"John Fitzgerald Kennedy , often referred to as JFK or Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination in 1963. He was the youngest person elected president. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Union and Cuba. A Democrat, Kennedy represented Massachusetts in both houses of the U.S. Congress prior to his presidency."
us,Q9916,Dwight,Eisenhower,1890-10-14,1969-03-28,Denison,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1953-01-20,1961-01-20,"Dwight David Eisenhower , nicknamed Ike, was an American military officer and statesman who served as the 34th president of the United States from 1953 to 1961. During World War II, he was Supreme Commander of the Allied Expeditionary Force in Europe and achieved the five-star rank as General of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II:  Operation Torch in the North Africa campaign in 1942–1943 and the invasion of Normandy in 1944."
us,Q9960,Ronald,Reagan,1911-02-06,2004-06-05,Tampico,https://en.wikipedia.org/wiki/Ronald_Reagan,1981-01-20,1989-01-20,"Ronald Wilson Reagan  was an American politician and actor who served as the 40th president of the United States from 1981 to 1989. A member of the Republican Party, his presidency constituted the Reagan era, and he is considered one of the most prominent conservative figures in American history."
us,Q11613,Harry,Truman,1884-05-08,1972-12-26,Lamar,https://en.wikipedia.org/wiki/Harry_S._Truman,1945-04-12,1953-01-20,"Harry S. Truman  was the 33rd president of the United States, serving from 1945 to 1953. A member of the Democratic Party, he previously served as a United States senator from Missouri from 1935 to 1945 and briefly as the 34th vice president in 1945 under Franklin D. Roosevelt. Assuming the presidency after Roosevelt's death, Truman implemented the Marshall Plan in the wake of World War II to rebuild the economy of Western Europe and established both the Truman Doctrine and NATO to contain the expansion of Soviet communism. He proposed numerous liberal domestic reforms, but few were enacted by the conservative coalition that dominated the Congress."
us,Q11806,John,Adams,None,1826-07-04,Braintree,https://en.wikipedia.org/wiki/John_Adams,1797-03-04,1801-03-04,"John Adams  was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson."
us,Q11812,Thomas,Jefferson,None,1826-07-04,Shadwell,https://en.wikipedia.org/wiki/Thomas_Jefferson,1801-03-04,1809-03-04,"Thomas Jefferson  was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809. He was the primary author of the Declaration of Independence. Following the American Revolutionary War and prior to becoming president in 1801, Jefferson was the nation's first U.S. secretary of state under George Washington and then the nation's second vice president under John Adams."
us,Q11813,James,Madison,1751-03-16,1836-06-28,Port Conway,https://en.wikipedia.org/wiki/James_Madison,1809-03-04,1817-03-04,"James Madison Jr.  was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed the Father of the Constitution for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
us,Q11815,James,Monroe,1758-04-28,1831-07-04,Monroe Hall,https://en.wikipedia.org/wiki/James_Monroe,1817-03-04,1825-03-04,"James Monroe  was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825, a member of the Democratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty and the Republican Generation. His presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
us,Q11816,John,Adams,1767-07-11,1848-02-23,Braintree,https://en.wikipedia.org/wiki/John_Quincy_Adams,1825-03-04,1829-03-04,"John Quincy Adams  was an American statesman, politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
us,Q11817,Andrew,Jackson,1767-03-15,1845-06-08,Waxhaws,https://en.wikipedia.org/wiki/Andrew_Jackson,1829-03-04,1837-03-04,"Andrew Jackson Jr   was an American lawyer, planter, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before his presidency, he gained fame as a general in the U.S. Army and served in both houses of the U.S. Congress. Often praised as an advocate for ordinary Americans and for his work in preserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment of Native Americans."
us,Q11820,Martin,Van Buren,1782-12-05,1862-07-24,Kinderhook,https://en.wikipedia.org/wiki/Martin_Van_Buren,1837-03-04,1841-03-04,"Martin Van Buren  vɑm ˈbyːrə] ⓘ; December 5, 1782 – July 24, 1862) was an American lawyer, diplomat, and statesman who served as the eighth president of the United States from 1837 to 1841. A primary founder of the Democratic Party, he served as New York's attorney general and U.S. senator, then briefly as the ninth governor of New York before joining Andrew Jackson's administration as the tenth United States secretary of state, minister to Great Britain, and ultimately the eighth vice president when named Jackson's running mate for the 1832 election. Van Buren won the presidency in 1836 against divided Whig opponents, the first president of non-Anglo-Saxon heritage and so far the only speaking English as a second language. Van Buren lost re-election in 1840, and failed to win the Democratic nomination in 1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led the Free Soil Party ticket in the 1848 presidential election."
us,Q11869,William,Harrison,1773-02-09,1841-04-04,Charles City County,https://en.wikipedia.org/wiki/William_Henry_Harrison,1841-03-04,1841-04-04,"William Henry Harrison  was an American military officer and politician who served as the ninth president of the United States. Harrison died just 31 days after his inauguration as president in 1841, making his presidency the shortest in U.S. history. He was also the first U.S. president to die in office, causing a brief constitutional crisis since presidential succession was not then fully defined in the United States Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies and was the paternal grandfather of Benjamin Harrison, the 23rd president of the United States."
us,Q11881,John,Tyler,1790-03-29,1862-01-18,Charles City County,https://en.wikipedia.org/wiki/John_Tyler,1841-04-04,1845-03-04,"John Tyler  was an American politician who served as the tenth president of the United States from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time."
us,Q11891,James,Polk,1795-11-02,1849-06-15,Pineville,https://en.wikipedia.org/wiki/James_K._Polk,1845-03-04,1849-03-04,"James Knox Polk  was the 11th president of the United States, serving from 1845 to 1849. He also served as the 13th speaker of the House of Representatives from 1835 to 1839 and the ninth governor of Tennessee from 1839 to 1841. A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is known for extending the territory of the United States through the Mexican–American War during his presidency, annexing the Republic of Texas, the Oregon Territory, and the Mexican Cession after winning the Mexican–American War."
us,Q11896,Zachary,Taylor,1784-11-24,1850-07-09,Barboursville,https://en.wikipedia.org/wiki/Zachary_Taylor,1849-03-04,1850-07-09,"Zachary Taylor  was an American military leader who served as the 12th president of the United States from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease."
us,Q12306,Millard,Fillmore,1800-01-07,1874-03-08,Summerhill,https://en.wikipedia.org/wiki/Millard_Fillmore,1850-07-09,1853-03-04,"Millard Fillmore  was the 13th president of the United States, serving from 1850 to 1853, the last to be a member of the Whig Party while in the White House.  A former member of the U.S. House of Representatives from upstate New York, Fillmore was elected as the 12th vice president in 1848, and succeeded to the presidency in July 1850 upon the death of Zachary Taylor. Fillmore was instrumental in passing the Compromise of 1850, a bargain that led to a brief truce in the battle over the expansion of slavery. He failed to win the Whig nomination for president in 1852 but gained the endorsement of the nativist Know Nothing Party four years later and finished third in the 1856 presidential election."
us,Q12312,Franklin,Pierce,1804-11-23,1869-10-08,Hillsborough,https://en.wikipedia.org/wiki/Franklin_Pierce,1853-03-04,1857-03-04,"Franklin Pierce  was an American politician who served as the 14th president of the United States from 1853 to 1857. A northern Democrat who believed that the abolitionist movement was a fundamental threat to the nation's unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, after Abraham Lincoln was elected president in 1860, the Southern states seceded, resulting in the American Civil War."
us,Q12325,James,Buchanan,1791-04-23,1868-06-01,Stony Batter,https://en.wikipedia.org/wiki/James_Buchanan,1857-03-04,1861-03-04,"James Buchanan Jr.  was an American lawyer, diplomat, and politician. He served as the 15th president of the United States from 1857 to 1861, as the secretary of State from 1845 to 1849, and represented Pennsylvania in both houses of the U.S. Congress. He was an advocate for states' rights, particularly regarding slavery, and minimized the role of the federal government preceding the Civil War."
us,Q22686,Donald,Trump,1946-06-14,None,Jamaica Hospital Medical Center,https://en.wikipedia.org/wiki/Donald_Trump,2017-01-20,2021-01-20,"Donald John Trump  is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021."
us,Q23505,George,Bush,1924-06-12,2018-11-30,Milton,https://en.wikipedia.org/wiki/George_H._W._Bush,1989-01-20,1993-01-20,"George Herbert Walker Bush  was an American politician, diplomat, and businessman who served as the 41st president of the United States from 1989 to 1993. A member of the Republican Party, he also served as the 43rd vice president from 1981 to 1989 under Ronald Reagan, and in various other federal positions prior to that."
us,Q23685,Jimmy,Carter,1924-10-01,None,Lillian G. Carter Nursing Center,https://en.wikipedia.org/wiki/Jimmy_Carter,1977-01-20,1981-01-20,"James Earl Carter Jr.  is an American politician and humanitarian who served as the 39th president of the United States from 1977 to 1981. A member of the Democratic Party, Carter was the 76th governor of Georgia from 1971 to 1975, and a Georgia state senator from 1963 to 1967. At age 99, he is both the oldest living former U.S. president and the longest-lived president in U.S. history."
us,Q33866,Theodore,Roosevelt,1858-10-27,1919-01-06,Manhattan,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1901-09-14,1909-03-04,"Theodore  Roosevelt Jr. , often referred to as Teddy or by his initials, T. R., was an American politician, statesman, conservationist, naturalist, and writer who served as the 26th president of the United States from 1901 to 1909. He previously held various positions in New York politics, rising up the ranks to serve as the state's 33rd governor for two years. He later served as the 25th vice president under president William McKinley for six months in 1901, assuming the presidency after McKinley's assassination. As president, Roosevelt emerged as a leader of the Republican Party and became a driving force for anti-trust and Progressive policies."
us,Q34296,Woodrow,Wilson,1856-12-28,1924-02-03,Staunton,https://en.wikipedia.org/wiki/Woodrow_Wilson,1913-03-04,1921-03-04,"Thomas Woodrow Wilson  was an American politician and academic who served as the 28th president of the United States from 1913 to 1921. A member of the Democratic Party, Wilson served as the president of Princeton University and as the governor of New Jersey before winning the 1912 presidential election. As president, Wilson changed the nation's economic policies and led the United States into World War I in 1917. He was the leading architect of the League of Nations, and his progressive stance on foreign policy came to be known as Wilsonianism."
us,Q34597,James,Garfield,1831-11-19,1881-09-19,Moreland Hills,https://en.wikipedia.org/wiki/James_A._Garfield,1881-03-04,1881-09-19,"James Abram Garfield  was the 20th president of the United States, serving from March 1881 until his death the following September after being shot by an assassin in July. A lawyer and Civil War general, Garfield served nine terms in the United States House of Representatives and is the only sitting member of the House to be elected president. Before his candidacy for the presidency, he had been elected to the U.S. Senate by the Ohio General Assembly—a position he declined when he became president-elect."
us,Q34836,Ulysses,Grant,1822-04-27,1885-07-23,Point Pleasant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1869-03-04,1877-03-04,"Ulysses S. Grant  was an American military officer and politician who served as the 18th president of the United States from 1869 to 1877. As commanding general, he led the Union Army to victory in the American Civil War in 1865 and thereafter briefly served as U.S. secretary of war. As president, Grant was an effective civil rights executive who signed the bill that created the Justice Department and worked with Radical Republicans to protect African Americans during Reconstruction."
us,Q35041,William,McKinley,1843-01-29,1901-09-14,Niles,https://en.wikipedia.org/wiki/William_McKinley,1897-03-04,1901-09-14,"William McKinley  was an American politician who served as the 25th president of the United States from 1897 until his assassination in 1901. A member of the Republican Party, he led a realignment that made Republicans largely dominant in the industrial states and nationwide for decades. He presided over victory in the Spanish–American War of 1898; gained control of Hawaii, Puerto Rico, the Philippines and Cuba; restored prosperity after a deep depression; rejected the inflationary monetary policy of free silver, keeping the nation on the gold standard; and raised protective tariffs."
us,Q35171,Stephen,Cleveland,1837-03-18,1908-06-24,Caldwell,https://en.wikipedia.org/wiki/Grover_Cleveland,1893-03-04,1897-03-04,"Stephen Grover Cleveland  was an American politician who served as the 22nd and 24th president of the United States from 1885 to 1889 and from 1893 to 1897. He is the only president in U.S. history to serve non-consecutive presidential terms. In the years before his presidency, he served as a mayor and governor of New York state, winning fame as an anti-corruption crusader. Cleveland was the first Democrat to win the presidency after the Civil War, and was one of two Democrat presidents, followed by Woodrow Wilson in 1912, in an era when Republicans dominated the presidency between 1861 and 1933. He won the popular vote in three presidential elections—1884, 1888, and 1892. Benjamin Harrison won the electoral college vote, and thus the presidency, in 1888."
us,Q35236,Herbert,Hoover,1874-08-10,1964-10-20,West Branch,https://en.wikipedia.org/wiki/Herbert_Hoover,1929-03-04,1933-03-04,"Herbert Clark Hoover  was an American politician who served as the 31st president of the United States from 1929 to 1933. A member of the Republican Party, he held office during the onset of the Great Depression. A wealthy mining engineer before his presidency, Hoover led the wartime Commission for Relief in Belgium, served as the director of the U.S. Food Administration, and served as the U.S. secretary of commerce."
us,Q35286,Warren,Harding,1865-11-02,1923-08-02,Blooming Grove,https://en.wikipedia.org/wiki/Warren_G._Harding,1921-03-04,1923-08-02,"Warren Gamaliel Harding  was an American politician who served as the 29th president of the United States from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular sitting U.S. presidents. After his death, a number of scandals were exposed, including Teapot Dome, as well as an extramarital affair with Nan Britton, which tarnished his reputation."
us,Q35498,Chester,Arthur,1829-10-05,1886-11-18,Fairfield,https://en.wikipedia.org/wiki/Chester_A._Arthur,1881-09-19,1885-03-04,"Chester Alan Arthur  was an American politician who served as the 21st president of the United States from 1881 to 1885. He was a Republican lawyer from New York who briefly served as the 20th vice president under President James A. Garfield. Arthur assumed the presidency after Garfield's death on September 19, 1881, and served the remainder of his term until March 4, 1885."
us,Q35648,William,Taft,1857-09-15,1930-03-08,Cincinnati,https://en.wikipedia.org/wiki/William_Howard_Taft,1909-03-04,1913-03-04,"William Howard Taft  was the 27th president of the United States, serving from 1909 to 1913, and the tenth chief justice of the United States, serving from 1921 to 1930, the only person to have held both offices. Taft was elected president in 1908, the chosen successor of Theodore Roosevelt, but was defeated for reelection in 1912 by Woodrow Wilson after Roosevelt split the Republican vote by running as a third-party candidate. In 1921, President Warren G. Harding appointed Taft to be chief justice, a position he held until a month before his death."
us,Q35678,Benjamin,Harrison,1833-08-20,1901-03-13,North Bend,https://en.wikipedia.org/wiki/Benjamin_Harrison,1889-03-04,1893-03-04,"Benjamin Harrison  was an American politician who served as the 23rd president of the United States from 1889 to 1893. He was a member of the Harrison family of Virginia—a grandson of the ninth president, William Henry Harrison, and a great-grandson of Benjamin Harrison V, a Founding Father."
us,Q35686,Rutherford,Hayes,1822-10-04,1893-01-17,Delaware,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,1877-03-04,1881-03-04,"Rutherford Birchard Hayes  was an American military officer and politician from the state of Ohio. A Republican, Hayes served as the 19th president of the United States from 1877 to 1881."
us,Q36023,John,Coolidge,1872-07-04,1933-01-05,Plymouth Notch,https://en.wikipedia.org/wiki/Calvin_Coolidge,1923-08-02,1929-03-04,"Calvin Coolidge  was an American attorney and politician who served as the 30th president of the United States from 1923 to 1929."
fr,Q157,François,Hollande,1954-08-12,None,Rouen,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,2012-05-15,2017-05-14,"François Hollande  Écouter, né le 12 août 1954 à Rouen , est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017."
fr,Q329,Nicolas,Sarkozy,1955-01-28,None,Paris,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,2007-05-16,2012-05-15,"Nicolas Sarközy de Nagy-Bocsa, dit Nicolas Sarkozy , né le 28 janvier 1955 à Paris , est un homme d'État français. Il est président de la République française du 16 mai 2007 au 15 mai 2012."
fr,Q2038,François,Mitterrand,1916-10-26,1996-01-08,Jarnac,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,1981-05-21,1995-05-17,"François Mitterrand  Écouter, né le 26 octobre 1916 à Jarnac  et mort le 8 janvier 1996 à Paris, est un homme d'État français, président de la République du 21 mai 1981 au 17 mai 1995."
fr,Q2042,Charles,de Gaulle,1890-11-22,1970-11-09,Lille,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,1959-01-08,1969-04-28,"Charles de Gaulle , communément appelé le général de Gaulle ou parfois simplement le Général, né le 22 novembre 1890 à Lille  et mort le 9 novembre 1970 à Colombey-les-Deux-Églises , est un militaire, résistant, homme d'État et écrivain français."
fr,Q2105,Jacques,Chirac,1932-11-29,2019-09-26,5th arrondissement of Paris,https://fr.wikipedia.org/wiki/Jacques_Chirac,1995-05-17,2007-05-16,"Jacques Chirac , né le 29 novembre 1932 dans le 5e arrondissement de Paris et mort le 26 septembre 2019 dans le 6e arrondissement de la même ville, est un haut fonctionnaire et homme d'État français. Il est Premier ministre de 1974 à 1976, puis de 1986 à 1988, et président de la République de 1995 à 2007."
fr,Q2124,Valéry,Giscard d'Estaing,1926-02-02,2020-12-02,Koblenz,https://fr.wikipedia.org/wiki/Val%C3%A9ry_Giscard_d%27Estaing,1974-05-27,1981-05-21,"Valéry Giscard d'Estaing   né le 2 février 1926 à Coblence  et mort le 2 décembre 2020 à Authon , est un homme d'État français, président de la République de 1974 à 1981."
fr,Q2185,Georges,Pompidou,1911-07-05,1974-04-02,Montboudif,https://fr.wikipedia.org/wiki/Georges_Pompidou,1969-06-20,1974-04-02,"Georges Pompidou , né le 5 juillet 1911 à Montboudif  et mort le 2 avril 1974 à Paris, est un haut fonctionnaire et homme d'État français. Il est Premier ministre du 14 avril 1962 au 10 juillet 1968 et président de la République du 20 juin 1969 à sa mort."
fr,Q5738,Adolphe,Thiers,1797-04-15,1877-09-03,Marseille,https://fr.wikipedia.org/wiki/Adolphe_Thiers,1871-08-31,1873-05-24,"Adolphe Thiers, né le 15 avril 1797  à Marseille et mort le 3 septembre 1877 à Saint-Germain-en-Laye, est un avocat, journaliste, historien et homme d'État français."
